[2026-07-14T12:44:01.918Z] GET http://localhost:8934/index.html → 200 (10ms, ?B)
[2026-07-14T12:44:01.937Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700;800;900&family=Fraunces:ital,opsz,wght@0,9..144,400;0,9..144,500;0,9..144,600;0,9..144,700;0,9..144,800;0,9..144,900;1,9..144,400;1,9..144,500;1,9..144,600;1,9..144,700&family=Lora:ital,wght@1,400;1,600&display=swap → pending (?ms, ?B)
[2026-07-14T12:44:01.937Z] GET http://localhost:8934/assets/brand-icon.png → 200 (14ms, ?B)
[2026-07-14T12:44:01.937Z] GET http://localhost:8934/screenshots/oyuncakhazinesi.png → 200 (16ms, ?B)
[2026-07-14T12:44:01.937Z] GET http://localhost:8934/screenshots/entropy.png → 200 (17ms, ?B)
[2026-07-14T12:44:01.937Z] GET http://localhost:8934/screenshots/yeryon.png → 200 (17ms, ?B)
[2026-07-14T12:44:01.938Z] GET http://localhost:8934/oyunlar/mobile%20icons/basamak_kulesi.png → 200 (16ms, ?B)
[2026-07-14T12:44:01.938Z] GET http://localhost:8934/oyunlar/mobile%20icons/devre_atolyesi.png → 200 (16ms, ?B)
[2026-07-14T12:44:01.938Z] GET http://localhost:8934/oyunlar/mobile%20icons/deyimoji.png → pending (?ms, ?B)
[2026-07-14T12:44:01.938Z] GET http://localhost:8934/oyunlar/mobile%20icons/job_Quest.png → 200 (16ms, ?B)
[2026-07-14T12:44:01.938Z] GET http://localhost:8934/oyunlar/mobile%20icons/madde_atolyesi.png → pending (?ms, ?B)
[2026-07-14T12:44:01.938Z] GET http://localhost:8934/oyunlar/mobile%20icons/kesif_seferi.png → pending (?ms, ?B)
[2026-07-14T12:44:01.938Z] GET http://localhost:8934/oyunlar/mobile%20icons/feel_match.png → pending (?ms, ?B)
[2026-07-14T12:44:01.938Z] GET http://localhost:8934/oyunlar/mobile%20icons/sifreavi.png → pending (?ms, ?B)
[2026-07-14T12:44:01.938Z] GET http://localhost:8934/oyunlar/mobile%20icons/sayi_sokagi.png → pending (?ms, ?B)
[2026-07-14T12:44:01.938Z] GET http://localhost:8934/oyunlar/mobile%20icons/action_verbs.png → pending (?ms, ?B)
[2026-07-14T12:44:01.938Z] GET http://localhost:8934/oyunlar/mobile%20icons/dunya_kahramani.png → pending (?ms, ?B)
[2026-07-14T12:44:01.938Z] GET http://localhost:8934/oyunlar/mobile%20icons/sesli_alfabem.png → pending (?ms, ?B)
[2026-07-14T12:44:01.938Z] GET http://localhost:8934/assets/DSCF6013.JPG → pending (?ms, ?B)
[2026-07-14T12:44:01.938Z] GET http://localhost:8934/logos/boun.png → pending (?ms, ?B)
[2026-07-14T12:44:01.939Z] GET http://localhost:8934/logos/harvard.png → pending (?ms, ?B)
[2026-07-14T12:44:01.939Z] GET http://localhost:8934/assets/1751560138082.jpeg → pending (?ms, ?B)
[2026-07-14T12:44:01.939Z] GET http://localhost:8934/screenshots/letter.png → pending (?ms, ?B)
[2026-07-14T12:44:02.297Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU78FyLNQOQZAnv9bYEvDiIdE9Ea92uemAk_WBq8U_9v0c2Wa0KxC9TeP2Xz5c.woff2 → 200 (393ms, 67388B)
[2026-07-14T12:44:02.298Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (414ms, 48432B)
[2026-07-14T12:44:02.298Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa25L7W0Q5n-wU.woff2 → 200 (349ms, 85272B)
